"species_id","common_name","taxonomic_name","method","Albany Thicket","Forests","Fynbos","Grassland","Indian Ocean Coastal Belt","Mixed","NA","Nama-Karoo","Other","Savanna","Succulent Karoo"
"129","Kite, Yellow-billed","Milvus aegyptius","perc_pres",2,0,15,19,2,27,0,1,0,34,0
"129","Kite, Yellow-billed","Milvus aegyptius","perc_cards",1,0,18,12,7,41,0,0,0,22,0
"13","Petrel, Southern Giant","Macronectes giganteus","perc_pres",4,0,64,0,4,29,0,0,0,0,0
"13","Petrel, Southern Giant","Macronectes giganteus","perc_cards",9,0,60,0,1,29,0,0,0,0,0
"130","Kite, Black-winged","Elanus caeruleus","perc_pres",1,0,9,38,0,22,0,3,0,26,1
"130","Kite, Black-winged","Elanus caeruleus","perc_cards",1,0,11,39,0,26,0,0,0,23,0
"131","Hawk, Bat","Macheiramphus alcinus","perc_pres",0,0,0,2,2,31,0,0,0,64,0
"131","Hawk, Bat","Macheiramphus alcinus","perc_cards",0,0,0,1,0,29,0,0,0,69,0
"132","Honey-buzzard, European","Pernis apivorus","perc_pres",1,0,6,24,3,34,0,1,0,32,0
"132","Honey-buzzard, European","Pernis apivorus","perc_cards",0,0,6,33,4,31,0,0,0,25,0
"133","Eagle, Verreaux's","Aquila verreauxii","perc_pres",1,0,16,17,0,35,0,14,1,12,4
"133","Eagle, Verreaux's","Aquila verreauxii","perc_cards",1,0,18,12,0,44,0,11,0,11,2
"134","Eagle, Tawny","Aquila rapax","perc_pres",0,0,0,3,0,20,0,3,1,73,0
"134","Eagle, Tawny","Aquila rapax","perc_cards",0,0,0,0,0,24,0,0,0,75,0
"135","Eagle, Steppe","Aquila nipalensis","perc_pres",0,0,0,1,0,12,0,0,0,87,0
"135","Eagle, Steppe","Aquila nipalensis","perc_cards",0,0,0,0,0,21,0,0,0,78,0
"136","Eagle, Lesser Spotted","Clanga pomarina","perc_pres",0,0,0,2,0,13,0,0,0,85,0
"136","Eagle, Lesser Spotted","Clanga pomarina","perc_cards",0,0,0,1,0,32,0,0,0,67,0
