"","PENTADE","Azonal Vegetation","Savanna","Forests","Grassland","NA","Nama-Karoo","Indian Ocean Coastal Belt","Desert","Succulent Karoo","Fynbos","<Null>","Albany Thicket"
"2187","2520_2640",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2188","2520_2645",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2189","2520_2650",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2190","2520_2655",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2191","2520_2700",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2192","2520_2705",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2193","2520_2710",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2194","2520_2715",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2195","2520_2720",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2196","2520_2725",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2197","2520_2730",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2198","2520_2735",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2199","2520_2740",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2200","2520_2745",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2201","2520_2750",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202","2520_2755",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2203","2520_2800",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2204","2520_2805",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2205","2520_2810",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2206","2520_2815",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2207","2520_2820",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2208","2520_2825",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2209","2520_2830",NA,99.9998299689082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2210","2520_2835",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2211","2520_2840",NA,99.9999171374343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2212","2520_2845",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2213","2520_2850",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2214","2520_2855",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2215","2520_2900",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2216","2520_2905",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2217","2520_2910",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2218","2520_2915",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2219","2520_2920",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2220","2520_2925",NA,99.9999800067752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2221","2520_2930",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2222","2520_2935",NA,60.1492774304125,NA,39.846840690076,NA,NA,NA,NA,NA,NA,NA,NA
"2223","2520_2940",NA,12.0981113226577,NA,87.902933121365,NA,NA,NA,NA,NA,NA,NA,NA
"2224","2520_2945",NA,0.153144368795989,NA,99.846855631204,NA,NA,NA,NA,NA,NA,NA,NA
"2225","2520_2950",NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
"2226","2520_2955",NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
"2227","2520_3000",NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
"2228","2520_3005",NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
"2229","2520_3010",NA,NA,0.0143029210085958,99.9856970789914,NA,NA,NA,NA,NA,NA,NA,NA
"2230","2520_3015",NA,NA,2.48374918855695,97.5151619206841,NA,NA,NA,NA,NA,NA,NA,NA
