system:index,0,1,AREA,Area_km2,Area_m2,BOTTOM,CENTREX,CENTREY,ID,LABEL,LEFT,PENTADE,QDGC,RIGHT,TOP,histogram,.geo
00000000000000000014,95579.02352941153,5.0,0.0069,79.24,7.92439138E7,-22.333333,29.208333,-22.291667,10491,GM40,29.166667,2215_2910,2229AC,29.25,-22.25,"{1=5.0, 0=95579.02352941153}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,95585.2392156859,,0.0069,79.24,7.92439138E7,-22.333333,29.291667,-22.291667,10492,GN40,29.25,2215_2915,2229AD,29.333333,-22.25,{0=95585.2392156859},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,95591.2980392158,,0.0069,79.24,7.92439138E7,-22.333333,29.375,-22.291667,10493,GO40,29.333333,2215_2920,2229AD,29.416667,-22.25,{0=95591.2980392158},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,95586.44705882443,,0.0069,79.24,7.92439138E7,-22.333333,29.458333,-22.291667,10494,GP40,29.416667,2215_2925,2229AD,29.5,-22.25,{0=95586.44705882443},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,95586.08235294138,4.0,0.0069,79.24,7.92439138E7,-22.333333,29.541667,-22.291667,10495,GQ40,29.5,2215_2930,2229BC,29.583333,-22.25,"{1=4.0, 0=95586.08235294138}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,95585.235294118,,0.0069,79.24,7.92439138E7,-22.333333,29.625,-22.291667,10496,GR40,29.583333,2215_2935,2229BC,29.666667,-22.25,{0=95585.235294118},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,95585.23529411657,,0.0069,79.24,7.92439138E7,-22.333333,29.708333,-22.291667,10497,GS40,29.666667,2215_2940,2229BC,29.75,-22.25,{0=95585.23529411657},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,95591.29411764763,,0.0069,79.24,7.92439138E7,-22.333333,29.791667,-22.291667,10498,GT40,29.75,2215_2945,2229BD,29.833333,-22.25,{0=95591.29411764763},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,95585.23529411716,,0.0069,79.24,7.92439138E7,-22.333333,29.875,-22.291667,10499,GU40,29.833333,2215_2950,2229BD,29.916667,-22.25,{0=95585.23529411716},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,95585.235294118,,0.0069,79.24,7.92439138E7,-22.333333,29.958333,-22.291667,10500,GV40,29.916667,2215_2955,2229BD,30.0,-22.25,{0=95585.235294118},"{""type"":""MultiPoint"",""coordinates"":[]}"
