Rob6,Common name,Scientific name,Endemic,Red Data Status (BirdLife Int),RDL status (in SA),Region,Cliffs,Forest,Woodland,Grassland,Savanna,Thicket,Fynbos,Karoo,Semi-arid,Namib desert,Wetland,Lagoons,Open coast,Marine,Agricultural
23,Great-winged Petrel,Pterodroma macroptera,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
25,White-headed Petrel,Pterodroma lessonii,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
26,Atlantic Petrel,Pterodroma incerta,3,3,VU,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Barau’s Petrel,Pterodroma baraui,3,2,EN,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
24,Soft-plumaged Petrel,Pterodroma mollis,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
27,Kerguelen Petrel,Lugensa brevirostris,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
28,Blue Petrel,Halobaena caerulea,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
29,Broad-billed Prion,Pachyptila vittata,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Salvins Prion,Pachyptila salvini,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Antarctic Prion,Pachyptila desolata,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
30,Slender-billed Prion,Pachyptila belcheri,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
31,Fairy Prion,Pachyptila turtur,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
22,Bulwers Petrel,Bulweria bulwerii,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Jouanins Petrel,Bulweria fallax,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
32,White-chinned Petrel,Procellaria aequinoctialis,3,3,VU,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Spectacled Petrel,Procellaria conspicillata,3,1,CR,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
33,Grey Petrel,Procellaria cinerea,3,4,NT,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
34,Corys Shearwater,Calonectris diomedea,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Streaked Shearwater,Calonectris leucomelas,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
35,Great Shearwater,Puffinus gravis,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
36,Flesh-footed Shearwater,Puffinus carneipes,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
37,Sooty Shearwater,Puffinus griseus,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
41,Wedge-tailed Shearwater,Puffinus pacificus,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
38,Manx Shearwater,Puffinus puffinus,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Balearic Shearwater,Puffinus mauretanicus,3,5,CR,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
40,Tropical Shearwater,Puffinus bailloni,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
39,Little Shearwater,Puffinus assimilis,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
