Ref,Common name,Scientific name,Endemic,Red Data Status (BirdLife Int),RDL status (in SA),Region,Cliffs,Forest,Woodland,Grassland,Savanna,Thicket,Fynbos,Karoo,Semi-arid,Namib desert,Wetland,Lagoons,Open coast,Marine,Agricultural
268,Common Whimbrel,Numenius phaeopus,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0
267,Eurasian Curlew,Numenius arquata,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0
232,Ruddy Turnstone,Arenaria interpres,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0
231,African Black Oystercatcher,Haematopus moquini,2,4,NT,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
296,Sandwich Tern,Sterna sandvicensis,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
49,Bank Cormorant,Phalacrocorax neglectus,1,2,EN,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
