species_id,common_name,taxonomic_name,method,biome,biome_dom_perc,presences,absences,perc_pres
371,"Nightjar, European",Caprimulgus europaeus,perc_pres,Savanna,63,492,77008,0.634838709677419
376,"Nightjar, Square-tailed",Caprimulgus fossii,perc_pres,Savanna,79,1507,75993,1.94451612903226
398,"Kingfisher, African Pygmy",Ispidina picta,perc_pres,Savanna,54,1491,76009,1.92387096774194
399,"Kingfisher, Woodland",Halcyon senegalensis,perc_pres,Savanna,84,15528,61972,20.0361290322581
401,"Kingfisher, Grey-headed",Halcyon leucocephala,perc_pres,Savanna,87,637,76863,0.821935483870968
403,"Kingfisher, Striped",Halcyon chelicuti,perc_pres,Savanna,81,6131,71369,7.91096774193548
405,"Bee-eater, Blue-cheeked",Merops persicus,perc_pres,Savanna,56,1691,75809,2.18193548387097
407,"Bee-eater, Southern Carmine",Merops nubicoides,perc_pres,Savanna,91,2308,75192,2.97806451612903
409,"Bee-eater, White-fronted",Merops bullockoides,perc_pres,Savanna,57,15178,62322,19.5845161290323
410,"Bee-eater, Little",Merops pusillus,perc_pres,Savanna,69,10357,67143,13.3638709677419
411,"Bee-eater, Swallow-tailed",Merops hirundineus,perc_pres,Savanna,56,2516,74984,3.24645161290323
412,"Roller, European",Coracias garrulus,perc_pres,Savanna,62,7226,70274,9.32387096774194
413,"Roller, Lilac-breasted",Coracias caudatus,perc_pres,Savanna,84,24955,52545,32.2
415,"Roller, Purple",Coracias naevius,perc_pres,Savanna,92,5713,71787,7.37161290322581
416,"Roller, Broad-billed",Eurystomus glaucurus,perc_pres,Savanna,59,1140,76360,1.47096774193548
421,"Scimitarbill, Common",Rhinopomastus cyanomelas,perc_pres,Savanna,63,13202,64298,17.0348387096774
424,"Hornbill, African Grey",Lophoceros nasutus,perc_pres,Savanna,84,29346,48154,37.8658064516129
426,"Hornbill, Southern Yellow-billed",Tockus leucomelas,perc_pres,Savanna,89,30630,46870,39.5225806451613
430,"Hornbill, Southern Ground",Bucorvus leadbeateri,perc_pres,Savanna,63,3111,74389,4.0141935483871
437,"Tinkerbird, Yellow-fronted",Pogoniulus chrysoconus,perc_pres,Savanna,78,13774,63726,17.7729032258065
446,"Woodpecker, Bennett's",Campethera bennettii,perc_pres,Savanna,90,2314,75186,2.9858064516129
447,"Woodpecker, Golden-tailed",Campethera abingoni,perc_pres,Savanna,62,19171,58329,24.7367741935484
451,"Woodpecker, Bearded",Chloropicus namaquus,perc_pres,Savanna,83,8921,68579,11.5109677419355
457,"Lark, Monotonous",Mirafra passerina,perc_pres,Savanna,89,1769,75731,2.28258064516129
459,"Lark, Fawn-colored",Calendulauda africanoides,perc_pres,Savanna,54,3744,73756,4.83096774193548
464,"Lark, Dusky",Pinarocorys nigricans,perc_pres,Savanna,88,818,76682,1.05548387096774
465,"Lark, Short-clawed",Certhilauda chuana,perc_pres,Savanna,82,687,76813,0.886451612903226
468,"Lark, Flappet",Mirafra rufocinnamomea,perc_pres,Savanna,81,1675,75825,2.16129032258065
499,"Swallow, Grey-rumped",Pseudhirundo griseopyga,perc_pres,Savanna,68,2132,75369,2.75093224603554
500,"Swallow, Mosque",Cecropis senegalensis,perc_pres,Savanna,89,1046,76455,1.34966000438704
501,"Swallow, Red-breasted",Cecropis semirufa,perc_pres,Savanna,59,11414,66087,14.7275519025561
513,"Cuckooshrike, Black",Campephaga flava,perc_pres,Savanna,51,6673,70828,8.61021148114218
514,"Tit, Ashy",Melaniparus cinerascens,perc_pres,Savanna,61,4462,73039,5.75734506651527
515,"Cuckooshrike, White-breasted",Ceblepyris pectoralis,perc_pres,Savanna,74,52,77449,0.0670959084398911
519,"Oriole, Eurasian Golden",Oriolus oriolus,perc_pres,Savanna,72,1080,76421,1.39353040605928
520,"Oriole, African Golden",Oriolus auratus,perc_pres,Savanna,75,39,77462,0.0503219313299183
527,"Tit, Southern Black",Melaniparus niger,perc_pres,Savanna,56,20690,56811,26.6964297234874
530,"Tit, Grey Penduline",Anthoscopus caroli,perc_pres,Savanna,86,1814,75687,2.34061495980697
533,"Babbler, Arrow-marked",Turdoides jardineii,perc_pres,Savanna,74,35659,41842,46.0110192126553
536,"Babbler, Southern Pied",Turdoides bicolor,perc_pres,Savanna,92,5060,72441,6.52894801357402
550,"Greenbul, Yellow-bellied",Chlorocichla flaviventris,perc_pres,Savanna,74,6311,71190,8.14312073392601
552,"Thrush, Kurrichane",Turdus libonyana,perc_pres,Savanna,59,22573,54928,29.1260757925704
557,"Thrush, Groundscraper",Turdus litsitsirupa,perc_pres,Savanna,67,15236,62265,19.6591011728881
563,"Wheatear, Northern",Oenanthe oenanthe,perc_pres,Savanna,100,12,77489,0.0154836711784364
574,"Chat, Arnot's",Myrmecocichla arnotti,perc_pres,Savanna,64,111,77390,0.143223958400537
580,"Robin-Chat, White-browed",Cossypha heuglini,perc_pres,Savanna,73,9106,68395,11.7495258125702
582,"Robin-Chat, White-throated",Cossypha humeralis,perc_pres,Savanna,80,13152,64349,16.9701036115663
585,"Scrub Robin, Bearded",Cercotrichas quadrivirgata,perc_pres,Savanna,78,2644,74857,3.41156888298215
586,"Scrub Robin, Kalahari",Cercotrichas paena,perc_pres,Savanna,58,11423,66078,14.7391646559399
588,"Scrub Robin, White-browed",Cercotrichas leucophrys,perc_pres,Savanna,60,34492,43009,44.5052321905524
592,"Nightingale, Thrush",Luscinia luscinia,perc_pres,Savanna,68,168,77333,0.21677139649811
594,"Whitethroat, Common",Curruca communis,perc_pres,Savanna,56,551,76950,0.710958568276538
596,"Warbler, Icterine",Hippolais icterina,perc_pres,Savanna,71,1138,76363,1.46836815008839
597,"Warbler, Olive-tree",Hippolais olivetorum,perc_pres,Savanna,88,683,76818,0.881278951239339
598,"Warbler, River",Locustella fluviatilis,perc_pres,Savanna,64,130,77371,0.167739771099728
601,"Eremomela, Burnt-necked",Eremomela usticollis,perc_pres,Savanna,92,7575,69926,9.77406743138798
602,"Eremomela, Green-capped",Eremomela scotops,perc_pres,Savanna,85,802,76699,1.03482535709217
614,"Wren-Warbler, Barred",Calamonastes fasciolatus,perc_pres,Savanna,89,3486,74015,4.49800647733578
615,"Wren-Warbler, Stierling's",Calamonastes stierlingi,perc_pres,Savanna,92,3160,74341,4.07736674365492
624,"Apalis, Rudd's",Apalis ruddi,perc_pres,Savanna,56,1212,76290,1.56383061082295
625,"Apalis, Yellow-breasted",Apalis flavida,perc_pres,Savanna,52,13178,64324,17.0034321694924
628,"Camaroptera, Grey-backed",Camaroptera brevicaudata,perc_pres,Savanna,89,9012,68490,11.6280870171092
63,"Heron, Striated",Butorides striata,perc_pres,Savanna,64,10673,66826,13.7717906037497
641,"Cisticola, Tinkling",Cisticola rufilatus,perc_pres,Savanna,83,329,77174,0.424499696785931
642,"Cisticola, Rattling",Cisticola chiniana,perc_pres,Savanna,70,35674,41829,46.0291859669948
654,"Flycatcher, Spotted",Muscicapa striata,perc_pres,Savanna,52,15479,62024,19.9721301110925
656,"Flycatcher, Ashy",Muscicapa caerulescens,perc_pres,Savanna,53,4863,72640,6.27459582209721
657,"Tit-Flycatcher, Grey",Myioparus plumbeus,perc_pres,Savanna,81,6269,71234,8.08871914635562
661,"Flycatcher, Marico",Melaenornis mariquensis,perc_pres,Savanna,85,12125,65378,15.6445556946183
662,"Flycatcher, Pale",Melaenornis pallidus,perc_pres,Savanna,80,2824,74679,3.64372992013212
664,"Flycatcher, Southern Black",Melaenornis pammelaina,perc_pres,Savanna,53,17290,60213,22.308813852367
668,"Hyliota, Southern",Hyliota australis,perc_pres,Savanna,100,5,77498,0.00645136317303846
673,"Batis, Chinspot",Batis molitor,perc_pres,Savanna,58,36391,41112,46.9543114460085
698,"Pipit, Tree",Anthus trivialis,perc_pres,Savanna,67,64,77439,0.0825774486148923
699,"Pipit, Bushveld",Anthus caffer,perc_pres,Savanna,84,1806,75697,2.33023237810149
70,"Heron, White-backed Night",Gorsachius leuconotus,perc_pres,Savanna,64,239,77260,0.308391076013884
702,"Pipit, Golden",Tmetothylacus tenellus,perc_pres,Savanna,83,33,77470,0.0425789969420539
706,"Shrike, Lesser Grey",Lanius minor,perc_pres,Savanna,64,8086,69417,10.4331445234378
708,"Shrike, Red-backed",Lanius collurio,perc_pres,Savanna,54,18245,59258,23.5410242184174
711,"Shrike, Crimson-breasted",Laniarius atrococcineus,perc_pres,Savanna,78,16062,61441,20.7243590570688
712,"Puffback, Black-backed",Dryoscopus cubla,perc_pres,Savanna,56,35311,42192,45.5608170006322
714,"Tchagra, Brown-crowned",Tchagra australis,perc_pres,Savanna,71,25341,52162,32.6967988335935
715,"Tchagra, Black-crowned",Tchagra senegalus,perc_pres,Savanna,54,20665,56838,26.663483994168
719,"Bushshrike, Orange-breasted",Chlorophoneus sulfureopectus,perc_pres,Savanna,63,22164,55339,28.5976026734449
721,"Bushshrike, Gorgeous",Telophorus viridis,perc_pres,Savanna,54,5531,71972,7.13649794201515
723,"Bushshrike, Grey-headed",Malaconotus blanchoti,perc_pres,Savanna,63,16153,61350,20.8417738668181
724,"Shrike, Magpie",Urolestes melanoleucus,perc_pres,Savanna,92,23888,53615,30.8220326955086
725,"Nicator, Eastern",Nicator gularis,perc_pres,Savanna,64,2706,74797,3.49147774924842
727,"Helmetshrike, White-crested",Prionops plumatus,perc_pres,Savanna,82,9819,67684,12.6691869992129
728,"Helmetshrike, Retz's",Prionops retzii,perc_pres,Savanna,85,2960,74543,3.81920699843877
73,"Stork, Marabou",Leptoptilos crumenifer,perc_pres,Savanna,81,4682,72817,6.04136827571969
730,"Shrike, Southern White-crowned",Eurocephalus anguitimens,perc_pres,Savanna,96,6536,70967,8.43322193979588
731,-,Nilaus afer,perc_pres,Savanna,66,19413,58090,25.0480626556391
736,"Starling, Violet-backed",Cinnyricinclus leucogaster,perc_pres,Savanna,63,12856,64647,16.5877449905165
738,"Starling, Greater Blue-eared",Lamprotornis chalybaeus,perc_pres,Savanna,93,8186,69317,10.5621717868986
739,"Starling, Miombo Blue-eared",Lamprotornis elisabeth,perc_pres,Savanna,100,3,77500,0.00387081790382308
742,"Starling, Meves's",Lamprotornis mevesii,perc_pres,Savanna,75,742,76761,0.957382294878908
743,"Starling, Burchell's",Lamprotornis australis,perc_pres,Savanna,91,15014,62489,19.3721533359999
747,"Oxpecker, Yellow-billed",Buphagus africanus,perc_pres,Savanna,92,1902,75601,2.45409855102383
748,"Oxpecker, Red-billed",Buphagus erythrorynchus,perc_pres,Savanna,82,22601,54902,29.1614518147685
755,"Sunbird, Marico",Cinnyris mariquensis,perc_pres,Savanna,89,13508,63995,17.4290027482807
763,"Sunbird, White-bellied",Cinnyris talatala,perc_pres,Savanna,61,38979,38524,50.2935370243733
77,"Stork, Woolly-necked",Ciconia episcopus,perc_pres,Savanna,55,2928,74571,3.77811326597763
774,"Sunbird, Scarlet-chested",Chalcomitra senegalensis,perc_pres,Savanna,66,8884,68619,11.4627820858547
779,"Weaver, Red-billed Buffalo",Bubalornis niger,perc_pres,Savanna,93,10154,67350,13.1012592898431
78,"Stork, Abdim's",Ciconia abdimii,perc_pres,Savanna,58,1119,76380,1.44388959857547
785,"Sparrow, Great",Passer motitensis,perc_pres,Savanna,88,2025,75479,2.61276837324525
787,"Sparrow, Grey-headed",Passer diffusus,perc_pres,Savanna,100,2,77502,0.00258051197357556
789,"Weaver, Scaly-feathered",Sporopipes squamifrons,perc_pres,Savanna,54,13300,64204,17.1604046242775
792,"Masked-weaver, Lesser",Ploceus intermedius,perc_pres,Savanna,80,6914,70590,8.9208298926507
793,"Weaver, Red-headed",Anaplectes rubriceps,perc_pres,Savanna,91,6301,71203,8.12990297274979
821,"Finch, Cut-throat",Amadina fasciata,perc_pres,Savanna,87,7138,70366,9.20984723369116
829,"Pytilia, Orange-winged",Pytilia afra,perc_pres,Savanna,85,65,77439,0.0838666391412056
830,"Pytilia, Green-winged",Pytilia melba,perc_pres,Savanna,76,14442,63062,18.6338769611891
831,"Twinspot, Pink-throated",Hypargos margaritatus,perc_pres,Savanna,69,1058,76446,1.36509083402147
835,"Firefinch, Jameson's",Lagonosticta rhodopareia,perc_pres,Savanna,77,10229,67275,13.1980284888522
837,"Firefinch, Red-billed",Lagonosticta senegala,perc_pres,Savanna,58,12027,65477,15.5179087530966
839,"Waxbill, Blue",Uraeginthus angolensis,perc_pres,Savanna,67,44735,32769,57.7196015689513
840,"Waxbill, Violet-eared",Granatina granatina,perc_pres,Savanna,79,7530,69974,9.71562758051197
841,"Waxbill, Black-faced",Brunhilda erythronotos,perc_pres,Savanna,73,5388,72116,6.95189925681255
847,"Whydah, Shaft-tailed",Vidua regia,perc_pres,Savanna,77,3922,73582,5.06038398018167
850,"Indigobird, Purple",Vidua purpurascens,perc_pres,Savanna,78,1562,75942,2.01537985136251
851,"Indigobird, Village",Vidua chalybeata,perc_pres,Savanna,64,4476,73028,5.7751857968621
852,"Whydah, Long-tailed Paradise",Vidua paradisaea,perc_pres,Savanna,73,7333,70171,9.46144715111478
874,"Bunting, Golden-breasted",Emberiza flaviventris,perc_pres,Savanna,55,21861,55643,28.2062861271676
883,"Heron, Malagasy Pond",Ardeola idae,perc_pres,Savanna,100,17,77487,0.0219343517753922
892,"Flufftail, Streaky-breasted",Sarothrura boehmi,perc_pres,Savanna,100,13,77491,0.0167733278282411
902,"Tern, Gull-billed",Gelochelidon nilotica,perc_pres,Savanna,67,32,77472,0.0412881915772089
977,"Boubou, Ethiopian",Laniarius aethiopicus,perc_pres,Savanna,73,457,77048,0.589639378104638
